timestamp	step	training_loss
1661436770428	0	0.6832352594325417
1661436783183	1	0.5854739829113609
1661436799377	2	0.5145235171443537
1661436814912	3	0.45859846943303156
1661436830183	4	0.3950617046732652
1661436845110	5	0.3435098026928149
1661436860063	6	0.2810953400636974
1661436875684	7	0.2271829388643566
1661436891552	8	0.19115435763409264
1661436907728	9	0.16024347159423327
1661436923239	10	0.1278954101236243
1661436938951	11	0.10963414295723564
1661436954887	12	0.09682173909325349
1661436970648	13	0.08964459911773079
1661436985921	14	0.07024756270019632
1661437001478	15	0.05135487588612657
1661437017073	16	0.04536867671106991
1661437031932	17	0.04188478904727258
1661437047503	18	0.039497944673425274
1661437062452	19	0.03971720114350319
1661437077583	20	0.03867036398304136
1661437092963	21	0.037038501548139674
1661437108361	22	0.03644131565172421
1661437123937	23	0.034429229403796946
1661437139353	24	0.03322726370472657
1661437154629	25	0.03141092430604132
1661437170489	26	0.030052454014749902
1661437185884	27	0.029937547092375002
1661437201127	28	0.02627601562754104
1661437216174	29	0.027997081315046864
