timestamp	step	training_loss
1661365303400	0	4.179367954080755
1661365311201	1	2.474286577918313
1661365323252	2	2.016861232844266
1661365335309	3	1.7392088499936191
1661365346964	4	1.5507900389758023
1661365358289	5	1.3243105086413296
1661365369868	6	1.248748085715554
1661365381648	7	1.1438974900679155
1661365393456	8	1.0892062458125027
1661365405526	9	0.9606512243097479
1661365417705	10	0.9438681927594271
1661365429675	11	0.8493099537762728
1661365441645	12	0.8046924363483082
1661365453153	13	0.7689594843170859
1661365465085	14	0.665262905034152
1661365476976	15	0.632176087661223
1661365488886	16	0.6370956789363514
1661365500504	17	0.5799824920567599
1661365512074	18	0.5509033148938959
1661365523874	19	0.5117377503351732
1661365535504	20	0.4713444438847629
1661365547321	21	0.4758566049012271
1661365559111	22	0.38070136308670044
1661365570473	23	0.36986959793350915
1661365582472	24	0.4046852073886178
1661365594660	25	0.3966722989624197
1661365606773	26	0.35571648993275384
1661365618385	27	0.33864398436112836
1661365630166	28	0.37021774595434015
1661365642046	29	0.35457607020031323
