timestamp	step	training_loss
1662136232940	0	0.46055762134492395
1662136323548	1	0.29322824338451026
1662136442056	2	0.2605738413520157
1662136560808	3	0.24145571738481522
1662136679604	4	0.22929802732542157
1662136798498	5	0.2216409320011735
1662136916679	6	0.21501382458955048
1662137034846	7	0.20925203207880258
1662137153352	8	0.20579432854428886
1662137271549	9	0.20148715786635876
1662137390386	10	0.19856105791404843
1662137509103	11	0.19550342103466392
1662137627387	12	0.19230891689658164
1662137745625	13	0.19123433232307435
1662137864070	14	0.18787148483097554
1662137982273	15	0.1876094532199204
1662138100895	16	0.18744127554818987
1662138219311	17	0.18767397720366716
